Part Name,Distrubutor,Quantity,LCSC Part ,Link,Price
Battery_Cell,LCSC ,1,C22360303,https://www.lcsc.com/product-detail/C22360303.html?spm=wm.gwc.xh.9.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.35$ 
DOWN,Aliexpress,1,,https://de.aliexpress.com/item/1005011838889689.html?spm=a2g0o.productlist.main.2.3d3fZXgiZXgiEZ&algo_pvid=fcc41a31-0b07-4647-b3aa-cced8f55cc59&pdp_ext_f=%7B%22order%22%3A%221921%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011838889689%7C_p_origin_prod%3A,2.73$ 
Menu,Aliexpress,1,,https://de.aliexpress.com/item/1005011838889689.html?spm=a2g0o.productlist.main.2.3d3fZXgiZXgiEZ&algo_pvid=fcc41a31-0b07-4647-b3aa-cced8f55cc59&pdp_ext_f=%7B%22order%22%3A%221921%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011838889689%7C_p_origin_prod%3A,0.00$ 
UP,Aliexpress,1,,https://de.aliexpress.com/item/1005011838889689.html?spm=a2g0o.productlist.main.2.3d3fZXgiZXgiEZ&algo_pvid=fcc41a31-0b07-4647-b3aa-cced8f55cc59&pdp_ext_f=%7B%22order%22%3A%221921%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011838889689%7C_p_origin_prod%3A,0.00$ 
Buzzer,LCSC ,1,C409842,https://www.lcsc.com/product-detail/C409842.html?spm=wm.gwc.xh.17.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.71$ 
100nF,LCSC ,1,C49678,https://www.lcsc.com/product-detail/C49678.html?spm=wm.gwc.xh.16.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.53$ 
10uF,LCSC ,5,C15850 ,https://www.lcsc.com/product-detail/C15850.html?spm=wm.gwc.dh.15.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.41$ 
1uF,LCSC ,1,C28323,https://www.lcsc.com/product-detail/C28323.html?spm=wm.gwc.dh.14.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.28$ 
1N4148,LCSC ,1,C85057 ,https://www.lcsc.com/product-detail/C85057.html?spm=wm.gwc.xh.13.tp___wm.mxq.ssl.gwc&lcsc_vid=QwBdUFYCEVFWUQJSQgRXBFReQgAIAlxeFVUIVVxRRlUxVlNRT1JYVFZeT1dbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.62$ 
ILI9341,Aliexpress,1,,https://de.aliexpress.com/item/1005009761383945.html?spm=a2g0o.productlist.main.1.5c286pt06pt0O4&algo_pvid=ec08bbb0-c0d3-4c21-81c7-3e32b0c9f219&pdp_ext_f=%7B%22order%22%3A%223694%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009761383945%7C_p_origin_prod%3A,5.79$ 
